title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped
Appartement à vendre 172 m² à Casablanca,2100000,"Appartements dans Casablanca, 2 Mars",172,3,3,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_172_m%C2%B2_%C3%A0_Casablanca_57382833.htm,"Casablanca, 2 Mars",casablanca,2 mars,2100000
Deux appartements à vendre derrière le complexe Al Hosni - par cession,560000,"Appartements dans Tanger, Hay Hassani",60,2,1,https://www.avito.ma/fr/hay_hassani/appartements/Deux_appartements_%C3%A0_vendre_derri%C3%A8re_le_complexe_Al_Hosni___par_cession_57635187.htm,"Tanger, Hay Hassani",tangier,hay hassani,560000
Charmant appartement à vendre - Résidence OUBAHA,1150000,"Appartements dans El Mansouria, Toute la ville",100,3,2,https://www.avito.ma/fr/el_mansouria/appartements/Charmant_appartement_%C3%A0_vendre___R%C3%A9sidence_OUBAHA_57256920.htm,"El Mansouria, Toute la ville",el mansouria,toute la ville,1150000
Bonne affaire sur la corniche,850000,"Appartements dans Tanger, Centre ville",64,2,1,https://www.avito.ma/fr/centre_ville/appartements/Bonne_affaire_sur_la_corniche_57817834.htm,"Tanger, Centre ville",tangier,centre ville,850000
Appartement 76m Neuf A Maarif Ex,1460000,"Appartements dans Casablanca, Maarif",76,2,2,https://www.avito.ma/fr/maarif/appartements/Appartement_76m_Neuf_A_Maarif_Ex_57712316.htm,"Casablanca, Maarif",casablanca,maarif,1460000
Bel appartement en rez de jardin sur résidence,3300000,"Appartements dans Marrakech, Agdal",100,3,2,https://www.avito.ma/fr/agdal/appartements/Bel_appartement_en_rez_de_jardin_sur_r%C3%A9sidence_57536307.htm,"Marrakech, Agdal",marrakech,agdal,3280000
Appartement à vendre 95 m² à Marrakech,1350000,"Appartements dans Marrakech, Route de Safi",95,2,1,https://www.avito.ma/fr/route_de_safi/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Marrakech_57746811.htm,"Marrakech, Route de Safi",marrakech,route de safi,1350000
Appartement neuf et équipé de haute qualité,525000,"Appartements dans Meknès, Autre secteur",110,3,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_neuf_et_%C3%A9quip%C3%A9_de_haute_qualit%C3%A9_57780125.htm,"Meknès, Autre secteur",meknès,autre secteur,525000
Superbe appartement familial au cœur Racine,4216000,"Appartements dans Casablanca, Racine",284,3,3,https://www.avito.ma/fr/racine/appartements/Superbe_appartement_familial_au_c_ur_Racine_57790576.htm,"Casablanca, Racine",casablanca,racine,3280000
Grand Appartement Plein Centre de Kénitra 154 m²,1360000,"Appartements dans Kénitra, Centre",154,3,2,https://www.avito.ma/fr/centre/appartements/Grand_Appartement_Plein_Centre_de_K%C3%A9nitra_154_m%C2%B2_57587635.htm,"Kénitra, Centre",kénitra,centre,1360000
CMN-MA-1866 - Appartement à vendre à Les princesses,1330000,"Appartements dans Casablanca, Les Princesses",106,2,1,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_1866___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_55872150.htm,"Casablanca, Les Princesses",casablanca,les princesses,1330000
Appartement Haut standing à vendre / piscine,1900000,"Appartements dans Marrakech, Ain Mezouar",100,3,2,https://www.avito.ma/fr/ain_mezouar/appartements/Appartement_Haut_standing_%C3%A0_vendre___piscine_57824629.htm,"Marrakech, Ain Mezouar",marrakech,ain mezouar,1900000
Bel appartement,395000,"Appartements dans Saidia, Toute la ville",76,3,2,https://www.avito.ma/fr/saidia/appartements/Bel_appartement_57263311.htm,"Saidia, Toute la ville",saidia,toute la ville,395000
Appartement à vendre 186 m² à Tanger,7200000,"Appartements dans Tanger, Malabata",186,4,2,https://www.avito.ma/fr/malabata/appartements/Appartement_%C3%A0_vendre_186_m%C2%B2_%C3%A0_Tanger_57325686.htm,"Tanger, Malabata",tangier,malabata,3280000
Appartement neuf à Sala El Jadida,1099800,"Appartements dans Salé, Sala El Jadida",94,2,2,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_neuf_%C3%A0_Sala_El_Jadida_53271053.htm,"Salé, Sala El Jadida",salé,sala el jadida,1099800
Appartement à vendre 110 m² à Bouznika,1670000,"Appartements dans Bouznika, Autre secteur",118,3,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Bouznika_57256859.htm,"Bouznika, Autre secteur",bouznika,autre secteur,1670000
Appartement 87 m² en vente près clinique kawtar,650000,"Appartements dans Fès, Ain Amiyer",87,3,2,https://www.avito.ma/fr/ain_amiyer/appartements/Appartement_87_m%C2%B2_en_vente_pr%C3%A8s_clinique_kawtar_57151475.htm,"Fès, Ain Amiyer",fès,ain amiyer,650000
Appartement à vendre 128 m² à Bouskoura,1300000,"Appartements dans Bouskoura, Victoria",140,3,2,https://www.avito.ma/fr/victoria/appartements/Appartement_%C3%A0_vendre_128_m%C2%B2_%C3%A0_Bouskoura_57814586.htm,"Bouskoura, Victoria",bouskoura,victoria,1300000
Appartement à vendre à Had Soualem,570000,"Appartements dans Had Soualem, Toute la ville",74,2,2,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_%C3%A0_Had_Soualem_57647935.htm,"Had Soualem, Toute la ville",had soualem,toute la ville,570000
"Studio neuf à vendre – Bourgogne, Casablanca",1270000,"Appartements dans Casablanca, Bourgogne",66,1,1,https://www.avito.ma/fr/bourgogne/appartements/Studio_neuf_%C3%A0_vendre___Bourgogne__Casablanca_57765581.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1270000
Appartements à vendre,2800000,"Appartements dans Agadir, Haut-Founty",150,3,3,https://www.avito.ma/fr/haut_founty/appartements/Appartements_%C3%A0_vendre_57804087.htm,"Agadir, Haut-Founty",agadir,haut-founty,2800000
Appartement à vendre 150 m² à Casablanca,3400000,"Appartements dans Casablanca, Oasis",163,3,2,https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_150_m%C2%B2_%C3%A0_Casablanca_57723071.htm,"Casablanca, Oasis",casablanca,oasis,3280000
CMN-AC-2017 - Appartement à vendre à Californie,1690000,"Appartements dans Casablanca, Californie",144,2,2,https://www.avito.ma/fr/californie/appartements/CMN_AC_2017___Appartement_%C3%A0_vendre_%C3%A0_Californie_57245074.htm,"Casablanca, Californie",casablanca,californie,1690000
Studio 42m Neuf Maarif Proche BD Biranzaran,980000,"Appartements dans Casablanca, Maarif",42,1,1,https://www.avito.ma/fr/maarif/appartements/Studio_42m_Neuf_Maarif_Proche_BD_Biranzaran_57785117.htm,"Casablanca, Maarif",casablanca,maarif,980000
Appartement 147 M² à Mohammedia,1650000,"Appartements dans Mohammedia, Autre secteur",14,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_147_M%C2%B2_%C3%A0_Mohammedia_57761127.htm,"Mohammedia, Autre secteur",mohammedia,autre secteur,1650000
Appartement à vendre à Oulfa,700000,"Appartements dans Casablanca, Oulfa",73,2,2,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_%C3%A0_Oulfa_57712644.htm,"Casablanca, Oulfa",casablanca,oulfa,700000
Appartements à vendre,1400000,"Appartements dans Agadir, Haut-Founty",70,2,2,https://www.avito.ma/fr/haut_founty/appartements/Appartements_%C3%A0_vendre_57803975.htm,"Agadir, Haut-Founty",agadir,haut-founty,1400000
Appartement à vendre 52 m² à Marrakech,1200000,"Appartements dans Marrakech, Guéliz",52,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_52_m%C2%B2_%C3%A0_Marrakech_56035043.htm,"Marrakech, Guéliz",marrakech,guéliz,1200000
Appartement à vendre à Marina Golf Asilah,950000,"Appartements dans Asilah, Toute la ville",150,2,1,https://www.avito.ma/fr/asilah/appartements/Appartement_%C3%A0_vendre_%C3%A0_Marina_Golf_Asilah_57769496.htm,"Asilah, Toute la ville",asilah,toute la ville,950000
Appartement à vendre 133 m² sur 2 mars,1700000,"Appartements dans Casablanca, 2 Mars",133,3,2,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_133_m%C2%B2_sur_2_mars_57696869.htm,"Casablanca, 2 Mars",casablanca,2 mars,1700000
Appartement à vendre 72 m² à Rachédia 2 Fes,450000,"Appartements dans Fès, Autre secteur",72,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Rach%C3%A9dia_2_Fes_57616573.htm,"Fès, Autre secteur",fès,autre secteur,450000
Appartement à vendre à Berrechid El Qabbah,340000,"Appartements dans Berrechid, Toute la ville",70,2,1,https://www.avito.ma/fr/berrechid/appartements/Appartement_%C3%A0_vendre_%C3%A0_Berrechid_El_Qabbah_57707198.htm,"Berrechid, Toute la ville",berrechid,toute la ville,340000
Appartement 112 m² près café Mégad’Or à Fès,650000,"Appartements dans Fès, Route Ain Chkaf",112,3,2,https://www.avito.ma/fr/route_ain_chkaf/appartements/Appartement_112_m%C2%B2_pr%C3%A8s_caf%C3%A9_M%C3%A9gad_Or_%C3%A0_F%C3%A8s_57370688.htm,"Fès, Route Ain Chkaf",fès,route ain chkaf,650000
Appartement à vendre à 3 min du stade de Tanger,970000,"Appartements dans Tanger, Zemmouri",75,2,1,https://www.avito.ma/fr/zemmouri/appartements/Appartement_%C3%A0_vendre_%C3%A0_3_min_du_stade_de_Tanger_57704607.htm,"Tanger, Zemmouri",tangier,zemmouri,970000
BEN-MA-1118 - Appartement à vendre à Mansouria-B...,1200000,"Appartements dans Benslimane, Autre secteur",98,2,1,https://www.avito.ma/fr/autre_secteur/appartements/BEN_MA_1118___Appartement_%C3%A0_vendre_%C3%A0_Mansouria_B____57276565.htm,"Benslimane, Autre secteur",benslimane,autre secteur,1200000
Appartement neuf à vendre Ain Sebaa,1070000,"Appartements dans Casablanca, Ain Sebaa",81,2,2,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_neuf_%C3%A0_vendre_Ain_Sebaa_57342001.htm,"Casablanca, Ain Sebaa",casablanca,ain sebaa,1070000
Appartements à vendre 64 m² à Ben Guerir,300000,"Appartements dans Ben Guerir, Toute la ville",64,3,2,https://www.avito.ma/fr/ben_guerir/appartements/Appartements_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Ben_Guerir_57735424.htm,"Ben Guerir, Toute la ville",ben guerir,toute la ville,300000
CMN-SI-1881 - Appartement à vendre à Bourgogne Est,1800000,"Appartements dans Casablanca, Bourgogne",103,3,2,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1881___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57341638.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1800000
Appartement à vendre 170 m² à CFC,4200000,"Appartements dans Casablanca, Casablanca Finance City",170,3,3,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_170_m%C2%B2_%C3%A0_CFC_57775845.htm,"Casablanca, Casablanca Finance City",casablanca,casablanca finance city,3280000
Appartement à vendre – Marrakech,600000,"Appartements dans Marrakech, Hay Charaf",59,2,1,https://www.avito.ma/fr/hay_charaf/appartements/Appartement_%C3%A0_vendre___Marrakech_57775121.htm,"Marrakech, Hay Charaf",marrakech,hay charaf,600000
Appartement à vendre 80 m² à Kénitra,490000,"Appartements dans Kénitra, Seyad",80,2,1,https://www.avito.ma/fr/seyad/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_K%C3%A9nitra_57727010.htm,"Kénitra, Seyad",kénitra,seyad,490000
Des apt neuf a vendre 85 m2 tanger,1147500,"Appartements dans Tanger, Marjane",96,2,2,https://www.avito.ma/fr/marjane/appartements/Des_apt_neuf_a_vendre_85_m2_tanger_57284651.htm,"Tanger, Marjane",tangier,marjane,1147500
Appartement à vendre 165 m² La perle D'Agadir,2272500,"Appartements dans Agadir, Talborjt",165,4,1,https://www.avito.ma/fr/talborjt/appartements/Appartement_%C3%A0_vendre_165_m%C2%B2_La_perle_D_Agadir_56449554.htm,"Agadir, Talborjt",agadir,talborjt,2272500
Appartement à vendre 70 m² à Kénitra,360000,"Appartements dans Kénitra, Bir Rami",70,2,2,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_K%C3%A9nitra_57722547.htm,"Kénitra, Bir Rami",kénitra,bir rami,360000
Appartement à vendre 120 m² à Tanger,2500000,"Appartements dans Tanger, Autre secteur",165,2,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_120_m%C2%B2_%C3%A0_Tanger_57778013.htm,"Tanger, Autre secteur",tangier,autre secteur,2500000
Appartement à vendre 89 m² à Tanger malabata,2136000,"Appartements dans Tanger, Malabata",89,2,1,https://www.avito.ma/fr/malabata/appartements/Appartement_%C3%A0_vendre_89_m%C2%B2_%C3%A0_Tanger_malabata_57316793.htm,"Tanger, Malabata",tangier,malabata,2136000
Appartement triplex à vendre 128m² à HM Casablanca,850000,"Appartements dans Casablanca, Hay Mohammadi",128,4,2,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_triplex_%C3%A0_vendre_128m%C2%B2_%C3%A0_HM_Casablanca_57029102.htm,"Casablanca, Hay Mohammadi",casablanca,hay mohammadi,850000
Appartement 82 m2 résidence Ricoflores piscine,860000,"Appartements dans Mohammedia, Centre Ville",82,2,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_82_m2_r%C3%A9sidence_Ricoflores_piscine_57355316.htm,"Mohammedia, Centre Ville",mohammedia,centre ville,860000
"Duplex avec garage privé Sidi Maarouf, Essaada",1650000,"Appartements dans Casablanca, Sidi Maarouf",159,2,3,https://www.avito.ma/fr/sidi_maarouf/appartements/Duplex_avec_garage_priv%C3%A9_Sidi_Maarouf__Essaada_57819495.htm,"Casablanca, Sidi Maarouf",casablanca,sidi maarouf,1650000
"Bel appartement à vendre Bourgogne, My Youssef",1280000,"Appartements dans Casablanca, Bourgogne",93,2,2,https://www.avito.ma/fr/bourgogne/appartements/Bel_appartement_%C3%A0_vendre_Bourgogne__My_Youssef_57793674.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1280000
"Appartement à El Jadida, quartier El Milha, sur la rue",550000,"Appartements dans El Jadida, Mouilha",88,2,1,https://www.avito.ma/fr/mouilha/appartements/Appartement_%C3%A0_El_Jadida__quartier_El_Milha__sur_la_rue_57335734.htm,"El Jadida, Mouilha",el jadida,mouilha,550000
Appartement à vendre 83 m² à guéliz Marrakech,1650000,"Appartements dans Marrakech, Guéliz",80,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_83_m%C2%B2_%C3%A0_gu%C3%A9liz_Marrakech_55798412.htm,"Marrakech, Guéliz",marrakech,guéliz,1650000
vendre Superbe appartement 3 ch-Jnane Californie,1900000,"Appartements dans Casablanca, Californie",119,3,2,https://www.avito.ma/fr/californie/appartements/%C3%80_vendre_Superbe_appartement_3_ch_Jnane_Californie_57815555.htm,"Casablanca, Californie",casablanca,californie,1900000
3 Chambres à vendre 112 m² à Californie,2000000,"Appartements dans Casablanca, Californie",117,3,2,https://www.avito.ma/fr/californie/appartements/3_Chambres_%C3%A0_vendre_112_m%C2%B2_%C3%A0_Californie_56564980.htm,"Casablanca, Californie",casablanca,californie,2000000
Appartement 112 m² – 8e étage – Riad Tétouan,1400000,"Appartements dans Tanger, Centre ville",112,2,1,https://www.avito.ma/fr/centre_ville/appartements/Appartement_112_m%C2%B2___8e_%C3%A9tage___Riad_T%C3%A9touan_57725391.htm,"Tanger, Centre ville",tangier,centre ville,1400000
appartement a vendre meuble,600000,"Appartements dans Marrakech, Route de Casablanca",52,2,1,https://www.avito.ma/fr/route_de_casablanca/appartements/appartement_a_vendre_meuble_57699894.htm,"Marrakech, Route de Casablanca",marrakech,route de casablanca,600000
Bel appart RDC SUR centre ville,650000,"Appartements dans Mohammedia, Centre Ville",80,2,1,https://www.avito.ma/fr/centre_ville/appartements/Bel_appart_RDC_SUR_centre_ville_55947144.htm,"Mohammedia, Centre Ville",mohammedia,centre ville,650000
Appartement Valencia Beach Mansouria,840000,"Appartements dans Mohammedia, Corniche",89,2,1,https://www.avito.ma/fr/corniche/appartements/Appartement_Valencia_Beach_Mansouria_57224794.htm,"Mohammedia, Corniche",mohammedia,corniche,840000
Appartement 86m² à vendre – Al Azdihar Marrakech,1300000,"Appartements dans Marrakech, Hay Izdihar",86,2,2,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_86m%C2%B2_%C3%A0_vendre___Al_Azdihar_Marrakech_57834491.htm,"Marrakech, Hay Izdihar",marrakech,hay izdihar,1300000
Appartement 126m² 4ème étg. terrasse à Maârif,1450000,"Appartements dans Casablanca, Val Fleuri",126,2,2,https://www.avito.ma/fr/val_fleuri/appartements/Appartement_126m%C2%B2_4%C3%A8me_%C3%A9tg__terrasse_%C3%A0_Ma%C3%A2rif_56872194.htm,"Casablanca, Val Fleuri",casablanca,val fleuri,1450000
Appartement à vendre à Cabo Negro,1400000,"Appartements dans Cabo Negro, Toute la ville",75,1,1,https://www.avito.ma/fr/cabo_negro/appartements/Appartement_%C3%A0_vendre_%C3%A0_Cabo_Negro_57745510.htm,"Cabo Negro, Toute la ville",cabo negro,toute la ville,1400000
Appartement 2 chambres corniche investisseurs airbnb,1100000,"Appartements dans Tanger, Malabata",75,2,1,https://www.avito.ma/fr/malabata/appartements/Appartement_2_chambres_corniche_investisseurs_airbnb_57831155.htm,"Tanger, Malabata",tangier,malabata,1100000
CMN-HA-1848 - Appartement à vendre à Lissasfa,930000,"Appartements dans Casablanca, Lissasfa",103,3,1,https://www.avito.ma/fr/lissasfa/appartements/CMN_HA_1848___Appartement_%C3%A0_vendre_%C3%A0_Lissasfa_57291337.htm,"Casablanca, Lissasfa",casablanca,lissasfa,930000
Studio à vendre,1083000,"Appartements dans Agadir, Haut-Founty",57,1,1,https://www.avito.ma/fr/haut_founty/appartements/Studio_%C3%A0_vendre_57803904.htm,"Agadir, Haut-Founty",agadir,haut-founty,1083000
Appartement d’architecte neuf sans vis-à-vis,1750000,"Appartements dans Casablanca, Franceville",83,2,2,https://www.avito.ma/fr/franceville/appartements/Appartement_d_architecte_neuf_sans_vis_%C3%A0_vis_57272154.htm,"Casablanca, Franceville",casablanca,franceville,1750000
Appartement Neuf 84 m² à Guéliz Avec Piscine,1550000,"Appartements dans Marrakech, Guéliz",84,2,2,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_Neuf_84_m%C2%B2_%C3%A0_Gu%C3%A9liz_Avec_Piscine_56259750.htm,"Marrakech, Guéliz",marrakech,guéliz,1550000
STUDIO MAGNIFIQUE À SAISIR,1350000,"Appartements dans Casablanca, Riviera",48,1,1,https://www.avito.ma/fr/riviera/appartements/STUDIO_MAGNIFIQUE_%C3%80_SAISIR_56341164.htm,"Casablanca, Riviera",casablanca,riviera,1350000
Appartement enregistré à vendre,6200000,"Appartements dans Tétouan, Al Azhar",126,3,1,https://www.avito.ma/fr/al_azhar/appartements/Appartement_enregistr%C3%A9_%C3%A0_vendre_57838894.htm,"Tétouan, Al Azhar",tétouan,al azhar,3280000
Joli appart 113m2 près de Amoud et McDonald,1300000,"Appartements dans Marrakech, Av Abdelkrim El Khattabi",113,2,1,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Joli_appart_113m2_pr%C3%A8s_de_Amoud_et_McDonald_57720703.htm,"Marrakech, Av Abdelkrim El Khattabi",marrakech,av abdelkrim el khattabi,1300000
Studio exceptionnel de 60 m² au centre Guéliz,1500000,"Appartements dans Marrakech, Guéliz",60,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Studio_exceptionnel_de_60_m%C2%B2_au_centre_Gu%C3%A9liz_57638403.htm,"Marrakech, Guéliz",marrakech,guéliz,1500000
Studio vue piscine à vendre 51 m² à Marrakech,1150000,"Appartements dans Marrakech, Hivernage",51,1,1,https://www.avito.ma/fr/hivernage/appartements/Studio_vue_piscine_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Marrakech_57774591.htm,"Marrakech, Hivernage",marrakech,hivernage,1150000
Appartement meublé à vendre dans un quartier résidentiel à Tamassna,550000,"Appartements dans Tamesna, Toute la ville",61,1,2,https://www.avito.ma/fr/tamesna/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_dans_un_quartier_r%C3%A9sidentiel_%C3%A0_Tamassna_57140046.htm,"Tamesna, Toute la ville",tamesna,toute la ville,550000
VENDRE Bel appartement moderne 55m² à Belvédère,730000,"Appartements dans Casablanca, Belvédère",55,1,1,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/%C3%80_VENDRE_Bel_appartement_moderne_55m%C2%B2_%C3%A0_Belv%C3%A9d%C3%A8re_57838866.htm,"Casablanca, Belvédère",casablanca,belvédère,730000
Appartement 5 pièces de 158 m2 à Casablanca,1400000,"Appartements dans Casablanca, Sidi Moumen",158,3,2,https://www.avito.ma/fr/sidi_moumen/appartements/Vente_Appartement_5_pi%C3%A8ces_de_158_m2_%C3%A0_Casablanca_57838838.htm,"Casablanca, Sidi Moumen",casablanca,sidi moumen,1400000
Penthouse avec piscine à vendre 320 m² à Tanger,7680000,"Appartements dans Tanger, Malabata",320,2,1,https://www.avito.ma/fr/malabata/appartements/Penthouse_avec_piscine_%C3%A0_vendre_320_m%C2%B2_%C3%A0_Tanger_57316830.htm,"Tanger, Malabata",tangier,malabata,3280000
Studios Neuf 36m à 38m Quartiers Des Hôpitaux,820000,"Appartements dans Casablanca, 2 Mars",36,1,1,https://www.avito.ma/fr/2_mars/appartements/Studios_Neuf_36m_%C3%A0_38m_Quartiers_Des_H%C3%B4pitaux_54451973.htm,"Casablanca, 2 Mars",casablanca,2 mars,820000
"Appartement à vendre titré à Tanger, Al Amel",750000,"Appartements dans Tanger, Aouama Gharbia",100,2,2,https://www.avito.ma/fr/aouama_gharbia/appartements/Appartement_%C3%A0_vendre_titr%C3%A9_%C3%A0_Tanger__Al_Amel_57838851.htm,"Tanger, Aouama Gharbia",tangier,aouama gharbia,750000
Appartement 195m² à vendre à Californie Bachkou,2550000,"Appartements dans Casablanca, Californie",195,3,2,https://www.avito.ma/fr/californie/appartements/Appartement_195m%C2%B2_%C3%A0_vendre_%C3%A0_Californie_Bachkou_56762095.htm,"Casablanca, Californie",casablanca,californie,2550000
Appartement à vendre 94 m² à Temara Wifak,1250000,"Appartements dans Temara, Oued Eddahab",94,3,1,https://www.avito.ma/fr/oued_eddahab/appartements/Appartement_%C3%A0_vendre_94_m%C2%B2_%C3%A0_Temara_Wifak_57774654.htm,"Temara, Oued Eddahab",temara,oued eddahab,1250000
Appartement à vendre 43 m² à bourgogne,1300000,"Appartements dans Casablanca, Bourgogne",43,1,1,https://www.avito.ma/fr/bourgogne/appartements/Appartement_%C3%A0_vendre_43_m%C2%B2_%C3%A0_bourgogne_57526960.htm,"Casablanca, Bourgogne",casablanca,bourgogne,1300000
Appartement chouka à Kénitra,610000,"Appartements dans Kénitra, Ouled Oujih",80,2,2,https://www.avito.ma/fr/ouled_oujih/appartements/Appartement_chouka_%C3%A0_K%C3%A9nitra_57737886.htm,"Kénitra, Ouled Oujih",kénitra,ouled oujih,610000
Appartement à vendre 97 m² à Marrakech,2330000,"Appartements dans Marrakech, Guéliz",97,2,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_97_m%C2%B2_%C3%A0_Marrakech_57658733.htm,"Marrakech, Guéliz",marrakech,guéliz,2330000
Appartement à vendre 82 m² à Kénitra,390000,"Appartements dans Kénitra, Bir Rami",82,2,2,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_K%C3%A9nitra_57694418.htm,"Kénitra, Bir Rami",kénitra,bir rami,390000
"Appartement à vendre Saada, près de Marjane, route de Casa, en sous-sol",440000,"Appartements dans Marrakech, Es Saada",60,2,1,https://www.avito.ma/fr/es_saada/appartements/Appartement_%C3%A0_vendre_Saada__pr%C3%A8s_de_Marjane__route_de_Casa__en_sous_sol_57202899.htm,"Marrakech, Es Saada",marrakech,es saada,440000
Studio 43m Haut de Gamme Proche Tram,1000000,"Appartements dans Casablanca, 2 Mars",43,1,1,https://www.avito.ma/fr/2_mars/appartements/Studio_43m_Haut_de_Gamme_Proche_Tram_57721374.htm,"Casablanca, 2 Mars",casablanca,2 mars,1000000
Appartement neuf et moderne sur la corniche,1700000,"Appartements dans Tanger, Malabata",100,2,2,https://www.avito.ma/fr/malabata/appartements/Appartement_neuf_et_moderne_sur_la_corniche_57703995.htm,"Tanger, Malabata",tangier,malabata,1700000
appartement quartier oulfa,1300000,"Appartements dans Casablanca, Oulfa",144,2,1,https://www.avito.ma/fr/oulfa/appartements/appartement_quartier_oulfa_57522572.htm,"Casablanca, Oulfa",casablanca,oulfa,1300000
Appartement à vendre à Oued Laou Mekkad,860000,"Appartements dans Oued Laou, Toute la ville",85,2,1,https://www.avito.ma/fr/oued_laou/appartements/Appartement_%C3%A0_vendre_%C3%A0_Oued_Laou_Mekkad_57838840.htm,"Oued Laou, Toute la ville",oued laou,toute la ville,860000
"Appartement 2 façades, 3ème étage, Iris",650000,"Appartements dans Oujda, Iris",75,2,1,https://www.avito.ma/fr/iris/appartements/Appartement_2_fa%C3%A7ades__3%C3%A8me_%C3%A9tage__Iris_57803662.htm,"Oujda, Iris",oujda,iris,650000
Appartement à vendre 92 m² Espace dubai à Inzegan,1012000,"Appartements dans Inzegan, Toute la ville",92,3,1,https://www.avito.ma/fr/inzegan/appartements/Appartement_%C3%A0_vendre_92_m%C2%B2_Espace_dubai_%C3%A0_Inzegan_56449562.htm,"Inzegan, Toute la ville",inzegan,toute la ville,1012000
Appartement 100 m² Les Collines Sidi Maarouf,1180000,"Appartements dans Casablanca, Sidi Maarouf",100,3,2,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_100_m%C2%B2_Les_Collines_Sidi_Maarouf_57755840.htm,"Casablanca, Sidi Maarouf",casablanca,sidi maarouf,1180000
Appartement à vendre à Harhoura,1900000,"Appartements dans Temara, Harhoura",95,2,2,https://www.avito.ma/fr/harhoura/appartements/Appartement_%C3%A0_vendre_%C3%A0_Harhoura_56546117.htm,"Temara, Harhoura",temara,harhoura,1900000
Appartement meublé à vendre Hay Azdihar,560000,"Appartements dans Marrakech, Hay Izdihar",60,2,1,https://www.avito.ma/fr/hay_izdihar/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_Hay_Azdihar_57758375.htm,"Marrakech, Hay Izdihar",marrakech,hay izdihar,560000
Appartement à vendre 75 m² à Kénitra,390000,"Appartements dans Kénitra, Bir Rami",75,2,2,https://www.avito.ma/fr/bir_rami/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_K%C3%A9nitra_57694379.htm,"Kénitra, Bir Rami",kénitra,bir rami,390000
Appartement à vendre 145 m² à la marina casablanca,3900000,"Appartements dans Tanger, Autre secteur",155,2,3,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_145_m%C2%B2_%C3%A0_la_marina_casablanca_56472283.htm,"Tanger, Autre secteur",tangier,autre secteur,3280000
Appartement à vendre 115 m² à Temara,1690000,"Appartements dans Temara, Oued Eddahab",115,3,1,https://www.avito.ma/fr/oued_eddahab/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Temara_57774592.htm,"Temara, Oued Eddahab",temara,oued eddahab,1690000
